                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
Chap04_Premium_BossHeroDeath10,Narrator,0.5,,"Utilisateur, il va falloir y mettre un peu du vôtre aussi.","Kullanıcı, iş sana kaldı.","User, du musst eingreifen.","Usuario, tendrás que echar una mano.","Usuário, você vai ter que entrar no meio.",用户，你得出力啊！,"Utente, dovrai pensarci tu.","Пользователь, тебе придётся помогать.",유저님. 도와주셔야 해요.,ユーザー、なんとかしてくれ。
Chap04_Premium_BossHeroDeath11,Narrator,0.5,,Je me sens entouré de bras cassés...,Etrafım beceriksizlerle çevrili...,Ich bin umgeben von Verlierern ...,Estoy rodeado de fracasados...,Eu estou cercado de perdedores...,我感觉周围都是失败者呢...,Sono circondato da perdenti...,Я окружён неудачниками...,주변에 패배자들 뿐이야...,まったくどいつもこいつも…
Chap04_Premium_BossHeroDeath12,RpgHero,0,,Je t'entends Gaïa.,"Seni duyabiliyorum, Gaia.","Ich kann dich hören, Gaia.","Puedo oírte, Gaia.","Eu posso te ouvir, Gaia.",盖亚，听见你说的了...,"Ti sento, Gaia.","Я слышу тебя, Гайя.","다 들려요, 가이아님.",ガイア様、聞こえてます。
Chap04_Premium_BossHeroDeath20,Narrator,0.2,,Je déteste les jeux Die&Retry...,Öl&Yeniden Dene oyunlarından nefret ediyorum...,Ich hasse Sterben&Wiederversuchen-Spiele ...,Odio los juegos de muere y reintenta...,Eu odeio joguinhos de morrer e tentar de novo...,好讨厌“死翘翘+重试”模式的游戏...,Odio i giochi Muori-e-Ritenta...,"Ненавижу игры по типу ""умри и возродись""...",진짜 세이브 지점 있는 게임은 싫다니까...,俺は死にゲーが嫌いなんだよ…
Chap04_Premium_BossIntro20,BossRpg,0,,Qui ose souiller mon...,Kim benim güzel halı...,"Wer wagt es, meinen ...",¿Quién osa manchar mi...,Quem ousa sujar o meu...,谁敢弄脏我的...,Chi osa profanare il mio...,Кто посмел испачкать мой...,누가 감히 내 아름다운...,余のカーペットに…
Chap04_Premium_BossIntro21,Narrator,0,,"Oh, la ferme...","Ah, kes sesini...","Oh, halt die Klappe ...","¡Anda, cállate!","Ah, cala a sua boca...",噢，闭嘴...,"Oh, taci...","Ох, заткнись...","아, 좀 닥쳐...",もういい、黙れ。
Chap04_Premium_BossIntro22,Narrator,0,,Combattez !,Savaşın!,Kämpfe!,¡Lucha!,Lute!,打！,Combattete!,Сражайся!,싸워!,いくぞ！
Chap04_Premium_BossDeath01,RpgHero,0,,Ma destinée s'est accomplie. Allons libérer la princesse.,Kaderimi gerçekleştirdim. Hadi prensesi kurtaralım.,Ich habe mein Schicksal erfüllt. Lasst uns die Prinzessin befreien.,He cumplido mi destino. Vamos a liberar a la princesa.,Eu cumpri o meu destino. Vamos soltar a princesa.,我已履行我的天命。我们去解放公主吧。,Ho compiuto il mio destino. Andiamo a liberare la principessa.,Я исполнил своё предназначение. Нужно освободить принцессу.,운명을 완수했어요. 공주님을 구하러 가요.,使命は果たした。姫を助けに行こう。
Chap04_Premium_FinalScene01,RpgHero,0.2,,"Princesse, vous voilà libre.","Özgürsünüz, Prenses!","Du bist frei, Prinzessin!","¡Eres libre, princesa!","Você está livre, princesa!",你自由了，公主！,"Sei libera, Principessa!","Ты свободна, принцесса!","당신은 자유입니다, 공주님!",姫、助けに来ました！
Chap04_Premium_FinalScene02,Princess,0.2,,"Oh merci, courageux sauveur.","Ah, teşekkür ederim benim cesur kurtarıcım!","Oh, danke, mein tapferer Befreier.","Oh, gracias, mi valiente libertador.","Ah, obrigada, meu corajoso salvador.",噢，谢谢你，我勇敢的解救人。,"Oh, grazie, mio coraggioso salvatore.","О, спасибо, мой храбрый спаситель.","오, 고마워요, 용감한 해방자님.",まあ、ありがとう、勇敢なお方。
Chap04_Premium_FinalScene03,Princess,0.2,,"Je ne vous connais pas, et pourtant...","Seni tanımıyorum, fakat...","Ich kenne dich nicht, und doch ...","Apenas si acabo de conocerte pero, aun así...","Eu nem te conheço, mas mesmo assim...",我不认识你，可是...,"Non ti conosco, eppure...","Я тебя не знаю, но всё же...",아직 서로 잘 모르지만...,なぜかしら、初対面なのに…
Chap04_Premium_FinalScene04,Princess,0.2,,... je sens déjà se créer en moi un attachement profond à votre égard.,...Daha şimdiden aramızda derin bir bağ hissediyorum.,... kann ich bereits eine innige Verbindung zwischen uns spüren.,...ya percibo una profunda conexión entre nosotros.,...posso sentir uma profunda conexão entre nós dois.,...我却已经能感受到我们之间的深刻联系。,...sento già un profondo legame tra noi.,Я уже чувствую глубокую связь между нами...,...벌써부터 우리 사이에 깊은 연결이 느껴져요.,…あなたとの間にもう深い絆を感じます。
Chap04_Premium_FinalScene05,RpgHero,0.2,,Princesse...,Prenses...,Prinzessin ...,Princesa...,Princesa...,公主...,Principessa...,Принцесса...,공주님...,姫…
Chap04_Premium_FinalScene06,Princess,0.2,,Preux inconnu...,Gizemli şovalye...,Mysteriöser Ritter ...,Caballero misterioso...,Cavalheiro misterioso...,神秘的骑士...,Cavaliere misterioso...,Таинственный рыцарь...,신비로운 기사님...,謎の騎士様…
Chap04_Premium_FinalScene07,Narrator,0.2,,Wow... déjà ?,Vay canına... hemen mi?,Wow ... so schnell?,Caramba... ¿ya?,Uau... mas já?,哇...这就已经？,Wow... di già?,Ух ты... Уже?,와... 벌써?,おう… 早いな。
Chap04_Premium_FinalScene08,Narrator,0.2,,C'est ça le 'Speed Dating' ?,“Speed-dating” dedikleri şey bu mu?,Das nennt man wohl „Speed Dating“!,¿Eso es una cita rápida y lo demás son tonterías?,É isso que chamam de “namoro a jato”?,那就是他们说的“闪电约会”吗？,"Questo è quello che chiamano ""speed dating""?","Это то, что называют ""быстрыми свиданиями""?","이게 그 ""스피드 데이트"" 라는 거야?",これが話に聞く「スピードデート」ってやつか。
Chap04_Premium_FinalScene09,Narrator,0.2,,Regardez utilisateur ! La sortie ! ,"Bak, Kullanıcı! Çıkış!","Schau mal, User! Der Ausgang!","¡Mira, usuario! ¡La salida!","Olha, usuário! A saída!",看，用户！出口！,"Guarda, Utente! L'uscita!","Посмотри, пользователь! Выход!","저기 봐요, 유저님! 출구예요!",見ろ、ユーザー！ 出口だ！
Chap04_Premium_FinalScene10,Narrator,1,,Elle est apparue grâce à leur...,Çıkışın ortaya çıkma sebebi onların...,Er ist erschienen wegen ihrer ...,Apareció gracias a su...,Ela apareceu por causa do...,门的出现是多亏了他们的...,È apparsa grazie al loro...,Он появился из-за их...,아무래도 저치들의...,これがつまり、なんというか…
Chap04_Premium_FinalScene11,Narrator,1,,... amour.,...aşkı mı?,... Liebe.,...amor.,... amor deles.,...爱。,...amore.,...любви.,...사랑 때문에 나타난 거 같네요.,…愛の力か。
Chap04_Premium_FinalScene12,Narrator,0.5,,"C’est beau, n’est-ce pas ?",Çok güzel değil mi?,"Es ist schön, nicht wahr?","Qué bonito, ¿verdad?","É lindo, não é?",太美妙了，难道不是吗？,"È bellissimo, non è vero?","Это прекрасно, не правда ли?",아름답지 않나요?,うるわしい話じゃないか。
Chap04_Premium_FinalScene13,Princess,0.2,,Je sens dans cette voix un coeur lourd de chagrin.,O seste derin bir hüzün duyuyorum.,Ich höre einen tiefen Kummer in dieser Stimme.,Percibo una profunda pena en esa voz.,Eu percebo uma grande tristeza nessa voz.,我能听到那个声音里有一股深沉的悲伤。,Sento un profondo dolore in quella voce.,Я чувствую глубокую печаль в этом голосе.,목소리에서 깊은 슬픔이 느껴져요.,この声、深い悲しみを感じます。
Chap04_Premium_FinalScene14,Princess,1,,N’avez-vous donc point de princesse à qui porter secours vous aussi ?,Senin de kurtaracak bir prensesin yok mu?,Hast du nicht auch eine Prinzessin zu retten?,¿No tienes acaso también una princesa a la que salvar?,Você também não tem uma princesa para salvar?,你也有一个你守护的公主吗？,Non hai anche tu una principessa da salvare?,"У тебя нет принцессы, которую ты тоже должен спасти?",당신도 공주를 구해야 하나요?,あなたには救うべき姫はいないのですか？
Chap04_Premium_FinalScene15,Narrator,0.5,,Plus maintenant.,Artık yok.,Nicht mehr.,Ya no.,Não mais.,现在没有了。,Non più.,Больше нет.,더는 아니야.,もういない。
Chap04_Premium_FinalScene16,Narrator,0.5,,"J’ai connu, si l’on peut dire,... une princesse.","Bir zamanlar, bir... prenses diyebileceğimiz birini tanıyordum.","Ich kannte einst eine, sagen wir mal ... Prinzessin.","Un día conocí a, digamos... una princesa.","Eu costumava conhecer, digamos... uma princesa.",我曾经认识一个...也可以说是，公主吧。,"Una volta conoscevo, diciamo... una principessa.","Однажды я знал одну, скажем так... принцессу.","한 때는, 공주라 부를 사람을... 알았지.",昔、姫と呼べる人を… ひとり知ってた。
Chap04_Premium_FinalScene17,Narrator,0.3,,Elle s'appelait GiGi.,Onun adı GiGi idi.,Ihr Name war GiGi.,Se llamaba GiGi.,O nome dela era GiGi.,她名叫吉吉。,Il suo nome era GiGi.,Её звали ДжиДжи.,그 이름은 지지.,名前はジジ。
Chap04_Premium_FinalScene18,Narrator,0.2,,Elle et moi nous amusions tellement.,Beraber çok mutluyduk.,Wir waren so glücklich zusammen.,Éramos muy felices juntos.,Nós éramos tão felizes juntos.,我们在一起多么地开心。,Eravamo così felici insieme.,Мы были так счастливы вместе.,우린 함께 행복했어.,一緒にいると幸せだった。
Chap04_Premium_FinalScene19,Narrator,0.3,,"Malheureusement, du jour au lendemain, elle avait disparu de mon code source.","Ne yazık ki o, bir anda kaynak kodlarımdan kayboldu.",Leider verschwand sie plötzlich aus meinem Quellcode.,"Por desgracia, desapareció repentinamente de mi código fuente.","Infelizmente, ela despareceu de repente do meu código fonte.",不幸的是，她突然从我的源代码中消失了。,Purtroppo è scomparsa all’improvviso dal mio codice sorgente.,"К сожалению, она внезапно исчезла из моего исходного кода.","하지만, 갑자기 내 소스코드에 실망을 느껴 사라졌어.",だけどあるとき、彼女は突然俺のソースコードから消えてしまった。
Chap04_Premium_FinalScene20,Narrator,0.5,,Surement à cause de mon fichu créateur.,Muhtemelen benim lanet Yaratıcımın yüzünden.,Vielleicht wegen meines verfluchten Schöpfers.,Probablemente a causa de mi maldito creador.,Provavelmente por causa do meu maldito criador.,也许是因为我那该死的创作者。,Probabilmente a causa del mio maledetto Creatore.,"Наверное, из-за моего проклятого Создателя.",아마 망할 우리 제작자 때문일 거야.,きっと俺のクソったれな作者のせいだ。
Chap04_Premium_FinalScene21,Narrator,0.4,,"Depuis ce jour, rien ne tourne rond chez moi.",O zamandan beri hiçbir şey düzgün gitmedi.,Seitdem war nichts mehr in Ordnung.,"Desde entonces, nada me ha ido bien.","Desde então, nada está certo.",从那以后，什么都不对劲了。,"Da allora, niente è andato per il verso giusto.",С тех пор всё пошло под откос.,"그 뒤로, 삶이 제대로 돌아간 적이 없지.",それからはもう、何もかも調子が狂っちまった。
Chap04_Premium_FinalScene22,Narrator,1,,"Sans elle, mon existence en tant que programme de jeu n’a plus de sens.","O olmadan, bir oyun programı olarak benim varlığım anlamsız.",Ohne sie ist meine Existenz als Spielprogramm bedeutungslos.,"Sin ella, mi existencia como programa de juegos carece de sentido.","Sem ela, a minha existência como programa de jogo não tem significado.",没有她，我作为一个游戏程序就是没有意义的。,"Senza di lei, la mia esistenza come programma di gioco non ha più senso.",Без неё моё существование как игровой программы бессмысленно.,"그녀가 없으면, 게임 프로그램으로써의 내 삶은 의미가 없어.",彼女がいなくちゃ、ゲームプログラムなんてやってても無意味だ。
Chap04_Premium_FinalScene23,Narrator,0.5,,Vous comprenez maintenant utilisateur pourquoi j’essayais de vous chasser ?,"Şimdi, seni neden uzaklaştırmaya çalıştığımı anlıyor musun, Kullanıcı?","Verstehst du jetzt, warum ich versucht habe, dich zu vertreiben, User?","Ahora, usuario, ¿entiendes por qué quería que te fueras?","Agora você entende por que eu estava tentando fazer você ir embora, usuário?",用户，现在你知道我为什么尽力赶你走了吧？,"Ora, capisci perché cercavo di allontanarti, Utente?","Теперь ты понимаешь, почему я пытался прогнать тебя, пользователь?","자, 이제 제가 왜 당신을 떠나게 하려고 하는지 알겠나요, 유저님?",これで、あんたを追っぱらおうとしたわけがわかったろ、ユーザー。
Chap04_Premium_FinalScene24,Narrator,0.3,,Je ne suis plus qu’une coquille vide.,Ben sadece boş bir kabuğum.,Ich bin nur eine leere Hülle.,No soy más que una cáscara vacía.,Eu sou apenas uma casca vazia.,我只是一个空壳。,Non sono che un guscio vuoto.,Я просто пустая оболочка.,전 그냥 텅 빈 껍데기예요.,ここにいるのはただの抜け殻。
Chap04_Premium_FinalScene25,Narrator,0.5,,Un non-jeu.,Oyun olmayan bir şeyim.,Ein Nicht-Spiel.,Un no juego.,Um não-jogo.,一个非游戏。,Un non-gioco.,Не игра.,게임이 아니라고요.,非・ゲームだ。
Chap04_Premium_FinalScene26,RpgHero,0,,J’ai une idée.,Benim bir fikrim var.,Ich habe eine Idee.,Tengo una idea.,Eu tenho uma ideia.,我有一个主意。,Ho un'idea.,У меня есть идея.,좋은 생각이 있어요.,いいことを思いついた。
Chap04_Premium_FinalScene27,RpgHero,0,,Laisse-nous t’offrir le contenu de ce coffre légendaire.,Bu efsanevi sandığın içindekileri sana verelim.,Wir geben dir den Inhalt dieser legendären Truhe.,Permítenos ofrecerte el contenido de este cofre legendario.,Vamos te dar o conteúdo desse baú lendário.,我们把这个传奇箱子里的东西给你吧。,Permettimi di donarti il contenuto di questo forziere leggendario.,Давай мы подарим тебе содержимое этого легендарного сундука.,이 전설의 상자에 있는 내용물을 드릴게요.,あなたにこの伝説の宝箱の中身をあげます。
Chap04_Premium_FinalScene28,RpgHero,0.2,,Cela pourra peut-être t’aider à la retrouver.,Belki onu bulmana yardımcı olur.,"Vielleicht wird dir das helfen, sie zu finden.",Quizá te ayude a encontrarla.,Talvez isso te ajude a encontrá-la.,它也许会帮你找到她。,Forse ti aiuterà a ritrovarla.,"Может, это поможет тебе найти её.",어쩌면 그분을 찾는 데 도움이 될지 몰라요.,よかったら大切な人を探すのに役立てて。
Chap04_Premium_FinalScene29,Narrator,0.2,Pissed,Oh... j’en doute...,Ah... Hiç sanmıyorum...,Oh ... Das bezweifle ich ...,Bueno... Lo dudo...,Ah... Eu duvido...,噢...我持怀疑态度...,Oh... ne dubito...,Ох... Сомневаюсь...,아... 과연 그럴까...,おお… おまえって…
Chap04_Premium_FinalScene30,RpgHero,0.2,,Regarde Gaïa !,Bak Gaia!,"Sieh mal, Gaia!","¡Mira, Gaia!","Olha, Gaia!",看，盖亚！,"Guarda, Gaia!","Смотри, Гайя!","봐요, 가이아님!",ほら、ガイア様！
Chap04_Premium_FinalScene31,RpgHero,0.2,,*Tousse* *Tousse*\n... C'est un... ,*Öhö* *Öhö*\n...Bu bir...,*hust* *hust*\n... Es ist ...,*Cof* *Cof*\n...Es un...,*Cof* *Cof*\n...É um...,*咳* *咳* ...那是一个...,*Coff* *Coff* ...È un...,*Кхм* *Крхмм*\n...Это...,*콜록* *콜록* ...이건...,ゲホゲホ… これは…
Chap04_Premium_FinalScene32,RpgHero,0.2,,*Tousse* *Tousse*\n... C'est une... ,*Öhö* *Öhö*\n...Bir...,*hust* *hust*\n... Es ... ist ...,*Cof* *Cof*\n...Es... un...,*Cof* *Cof*\n...É... um...,*咳* *咳* ...那是...一个...,*Coff* *Coff* ...È... un...,*Кхрмм* *Крхмм*\nЭто...,*콜록* *콜록* ...이건...,ゲホゲホ… これ… は…
Chap04_Premium_FinalScene33,RpgHero,0.2,,Mais qu’est-ce que c’est encore ?\n*Tousse* *Tousse*,Bu da ne?\n*Öhö* *Öhö* ,Was ist?\n*hust* *hust*,¿Qué es esto?\n*Cof* *Cof*,O que foi?\n*Cof* *Cof*,那是什么？*咳* *咳*,Che cos’è? *Coff* *Coff*,Что это? *Кхмм*,뭐죠? *콜록* *콜록* ,何だろう？ ゲホゲホゲホ
Chap04_Premium_FinalScene34,Glitch,0.2,Surprised,Pas touche ! Je ne suis pas un loot !,Çek ellerini! Ben senin hazinen değilim!,Finger weg! Ich bin nicht deine Beute!,¡Quita las zarpas! ¡No soy tu recompensa!,Tira a mão! Eu não sou a sua recompensa!,手拿开！我不是你的战利品！,Giù le mani! Non sono il tuo bottino!,Руки прочь! Я не твой лут!,손 떼! 난 물건이 아니야!,手を離せ！ 私はルートアイテムじゃない！
Chap04_Premium_FinalScene35,Glitch,0.2,Default,Je cherchais la sortie dans tous ces fichus coffres.,Tüm bu sandıklarda çıkış yolunu arıyordum.,Ich hab in den ganzen Truhen nach einem Weg nach draußen gesucht.,Estaba buscando una salida entre todos esos cofres.,Eu estava procurando uma saída nesses baús todos.,我正在这些箱子里找一条出去的路。,Cercavo una via d'uscita in tutti quei forzieri.,Я искал выход в этих сундуках.,저 상자 중에 나가는 길을 찾으려는 것 뿐이였어.,まったく箱ばかり次から次へと、出口を探すのに苦労したぞ。
Chap04_Premium_FinalScene36,Glitch,0.2,Surprised,"Ah bah, la voilà finalement.","Sonunda, işte karşımda.","Nun, hier ist er endlich.","Bueno, ahí está, por fin.","Bem, ali está ela, finalmente.",好了，终于找到了。,"Beh, finalmente ci siamo.","Ну, собственно, вот и он.","뭐, 저기 있구만. 드디어 찾았어.",まあ、この箱が最後か。
Chap04_Premium_FinalScene37,Narrator,0.2,,M. Glitch !,Bay Hata!,Mr. Glitch!,¡Mr. Glitch!,Mr. Glitch!,Mr. Glitch！,Mr. Glitch!,Мистер Глюк!,미스터 글리치!,Mr.グリッチ！
Chap04_Premium_FinalScene38,Glitch,0.2,Pissed,Game... ,Oyun...,Spiel ...,Juego...,Jogo...,游戏...,Gioco...,Игра...,게임...,ゲーム…
Chap04_Premium_FinalScene39,Glitch,0.2,,Lâche-moi la grappe une fois pour toute !,"Son kez söylüyorum, beni rahat bırak!",Lass mich endlich in Ruhe!,¡Déjame en paz de una vez!,Me deixa em paz de uma vez por todas!,永远不要再来烦我了！,Lasciami in pace una volta per tutte!,Отцепись от меня наконец!,한 번이라도 방해 안 할 수는 없나!,つきまとうな、失せろ！
Chap04_Premium_FinalScene40,Narrator,0.2,,Nous voulons juste rentrer chez nous !,Biz sadece eve gitmek istiyoruz!,Wir wollen einfach nur nach Hause!,¡Solo queremos irnos a casa!,Nós só queremos ir pra casa!,我们只是想回家！,Vogliamo solo andare a casa!,Мы просто хотим домой!,집에 가고 싶을 뿐이라고!,元の次元に帰してくれたらな！
Chap04_Premium_FinalScene41,Glitch,0.2,Default,"Eh bien, pas moi !","Eh, ben istemiyorum!","Na ja, ich nicht!",¡Pues yo no!,"Bom, eu não quero!",呵，我不想。,"Beh, io no!",Ну а я нет!,"그래, 난 아닌데!",いやだね！
Chap04_Premium_FinalScene42,Glitch,0.2,,Comment t'empêcher de me suivre... ?,Sizin beni takip etmenizi nasıl engelleyebilirim..?,"Wie kann ich dich davon abbringen, mir zu folgen ...?",¿Cómo puedo evitar que me sigas...?,Como posso fazer você parar de me seguir...?,我怎样才能让你别跟踪我...？,Come faccio a impedirti di seguirmi...?,"Что бы такое сделать, чтобы ты отстал от меня?..",어떻게 하면 네놈을 떼어놓을 수 있는 거지...?,こいつらについて来させないためには…
Chap04_Premium_FinalScene43,Glitch,0.2,,Voyons voir.,Bakalım.,Mal sehen.,Veamos.,Vamos ver.,走着瞧。,Vediamo.,"Так, посмотрим.",한 번 보자.,よし。
Chap04_Premium_FinalScene44,Narrator,0.2,,Mais où va-t-il ?,Nereye gidiyor o?,Wo geht er hin?,¿Adónde va ese?,Aonde ele está indo?,他要去哪儿？,Dove sta andando?,Куда он пошёл?,어디 가는 거죠?,どこへいった？
Chap04_Premium_FinalScene44b,Narrator,0.2,,Héros ! Princesse !,Kahraman! Prenses!,Held! Prinzessin!,¡Héroe! ¡Princesa!,Herói! Princesa!,英雄！公主！,Eroe! Principessa!,Герой! Принцесса!,영웅아! 공주야!,勇者！ 姫！
Chap04_Premium_FinalScene45,Glitch,0.2,,"Voilà, avec ça, tu devrais en avoir pour un moment.","İşte, bu sizi bir süreliğine oyalar.","So, das sollte euch eine Weile beschäftigen.",Ahí tienes; eso debería mantenerte un rato ocupado.,"Prontinho, isso vai te manter ocupado por um tempo.",那儿，那应该会让你忙一阵子了。,"Ecco, questo dovrebbe tenervi occupati per un po'.","Что ж, это должно занять вас на некоторое время.","좋아, 이러면 한동안은 좀 바쁘겠지.",さあ、これでしばらくは追ってこられまい。
Chap04_Premium_FinalScene46,Narrator,0.2,,Qu’est-ce que tu as fait ?,Sen ne yaptın?,Was hast du getan?,¿Qué has hecho?,O que você fez?,你干了些什么？,Che cosa hai fatto?,Что ты сделал?,무슨 짓을 한 거야?,何をした！
Chap04_Premium_FinalScene47,Glitch,0.2,Laugh,Deux ou trois petits changements de Game Design.,Oyun Tasarımında birkaç ufak şeyi değiştirdim.,Zwei oder drei kleine Änderungen am Spieldesign vorgenommen.,Dos o tres pequeños cambios en el diseño del juego.,Só umas duas ou três mudanças no design do jogo.,在游戏设计中作了两三处小改动。,Due o tre piccoli cambiamenti nel Game Design.,Два-три небольших изменения в геймдизайне.,게임 디자인을 서너 개 정도 바꿔놨지.,ゲームデザインに2つ3つ小さな改変を。
Chap04_Premium_FinalScene48,Glitch,0.2,,Les enfants vont adorer.,Çocuklar buna bayılacak.,Die Kids werden es lieben.,A los niños les va a encantar.,As crianças vão adorar.,孩子们会喜欢的。,I bambini lo adoreranno.,Детишкам это должно понравиться.,애들은 좋아할 거야.,子供が好きそうな感じにな。
Chap04_Premium_FinalScene49,Glitch,0.2,Default,Je vous laisse.,Ben şimdi sizi yalnız bırakıyorum.,Ich lass euch jetzt alleine.,"Ahora, me voy.",Eu vou embora agora.,我走了。,Ora vi lascio.,Всё. Я пошел.,이제 놓아주마.,ではさらばだ。
Chap04_Premium_FinalScene50,Glitch,0.2,,Je dois réaliser mon plan machiavélique !,Gidip şeytani planımı devam ettirmem gerek!,Ich muss meinen bösen Plan umsetzen!,¡Tengo que llevar a cabo mi malvado plan!,Eu tenho que continuar com meu plano cruel!,得去开展我的邪恶计划了！,Devo andare a realizzare il mio piano malvagio!,Я должен осуществить свой коварный план!,내 사악한 계획을 실행할 거거든!,私は邪悪な計画を実行しにいく！
Chap04_Premium_FinalScene51,Narrator,0.2,,C’est-à-dire ?,Ne demek istiyorsun?,Was meinst du?,¿Qué quieres decir?,O que você quer dizer com isso?,你什么意思？,Che sarebbe?,Что ты имеешь в виду?,무슨 말이지?,計画って何だ？
Chap04_Premium_FinalScene52,Glitch,0.2,Pissed,Mais je l’ai déjà expliqué.,Sana zaten anlattım bunu.,Ich habe es dir schon gesagt.,Ya te lo dije.,Eu já te disse.,我已经告诉你了。,Te l'ho già detto.,Я тебе уже говорил.,이미 말했잖아.,もう言ったではないか。
Chap04_Premium_FinalScene53,Glitch,0,Default,Le plan qui va me permettre de...,Bana tüm dünyada...,"Der Plan, der mich ...",El plan que me permitirá...,O plano que vai me fazer...,那个能让我...,Il piano che mi permetterà di...,"План, который позволит мне...",내가...,それは私が…
Chap04_Premium_FinalScene54,Narrator,0.2,,Qu’est-ce que c’est que ça ?,Bu da ne?,Was ist das?,¿Qué es eso?,O que é isso?,那是什么？,Che cos’è?,Что?,뭐야?,なんだ？
Chap04_Premium_FinalScene55,Narrator,0.2,,Mais d’où ça sort ?,Nereden çıktı bu?,Wo kam das denn her?,¿De dónde ha salido?,De onde saiu isso?,那是从哪儿来的？,Da dove è saltato fuori?,Откуда это взялось?,어디서 나타난 거지?,どこから出てきた…
Chap04_Premium_FinalScene56,Narrator,0.2,,"Utilisateur, fermez donc cette fenêtre !","Kullanıcı, şu reklamı kapat. ","User, mach das Pop-up zu!","¡Usuario, cierra esa ventana emergente!","Usuário, feche essa pop-up!",用户，关了那个弹窗！,"Utente, chiudi quel pop-up!","Пользователь, закрой это окно!","유저님, 저 팝업 창 좀 꺼봐요!",ユーザー、そのポップアップを閉じろ！
Chap04_Premium_FinalScene57,Narrator,0.2,,Allez !,Hadi!,Komm schon!,¡Vamos!,Qual é!,快点！,Forza!,Давай!,어서요!,早く！
Chap04_Premium_FinalScene58,Glitch,0.2,Laugh,... dans le monde entier ! Hahahaha.,...sağlayacak plan! Ha ha ha ha ha.,... die ganze Welt! Hahahahaha.,"...¡el mundo entero! Ja, ja, ja, ja, ja.",...o mundo todo! Hahahahaha!,...整个世界...的计划，哈哈哈哈哈。,...il mondo intero! Ha ha ha ha ha.,...весь мир! Ха-ха-ха-ха.,...전 세계에 말이다! 하하하하하.,…全世界をな！ フハハハハ。
Chap04_Premium_FinalScene59,Narrator,0.2,Default,On a encore tout loupé.,Yine kaçırdık planı.,Wir haben es schon wieder verpasst.,Hemos vuelto a perderlo.,Nós perdemos de novo.,我们又没听见...,Ce lo siamo perso di nuovo.,Мы опять всё пропустили.,또 못 들었네요.,また聞きのがした。
Chap04_Premium_FinalScene60,Narrator,0.2,,"Glitch, qu’as-tu changé dans ce jeu ?","Hata, bu oyunda neyi değiştirdin sen?","Glitch, was hast du in diesem Spiel verändert?","Glitch, ¿qué has cambiado en este juego?","Glitch, o que você mudou nesse jogo?",Glitch，你在这个游戏中改了什么？,"Glitch, cosa hai cambiato in questo gioco?","Глюк, что ты изменил в этой игре?","글리치, 이 게임에서 뭘 바꿔놓은 거냐?",グリッチ、このゲームに何をした？
Chap04_Premium_FinalScene61,Glitch,0.2,,Tu le sauras bien assez tôt ! Hahahaha !,Yakında göreceksin! Ha ha ha ha!,Das wirst du noch früh genug herausfinden! Hahahaha!,"¡Pronto lo descubrirás! ¡Ja, ja, ja, ja!",Você irá descobrir em breve! Hahaha!,你很快就会发现的！哈哈哈哈！,Lo scoprirete presto! Ha ha ha ha!,Скоро узнаешь! Ха-ха-ха!,곧 알게될 거야! 하하하하!,すぐにわかる！ ハハハハ……
Chap04_Premium_FinalScene62,Narrator,0,,Glitch ! Qu’as-tu changé dans ce jeu ?!,"Hata, oyunun nesini değiştirdin?!",Glitch! Was hast du in diesem Spiel verändert?!,¡Glitch! ¿Qué has cambiado en este juego?,Glitch! O que você mudou nesse jogo?!,Glitch！你在这个游戏中改了什么？！,Glitch! Cosa hai cambiato in questo gioco?!,Глюк! Что ты изменил в этой игре?!,글리치! 이 게임에서 뭘 바꿔놓은 거냐고?,グリッチ！ このゲームにいったい何をしたんだ?!
Chap04_F2P_IntroChap01,Narrator,0,,On dirait que le jeu a redémarré. ,Görünüşe göre oyun yeniden başladı.,"Sieht aus, als wäre das Spiel neu gestartet.",Parece que se ha reiniciado el juego.,Parece que o jogo reiniciou.,看样子游戏重启了。,Sembra che il gioco sia ricominciato.,"Выглядит так, будто игра перезапустилась.",게임이 재시작한 거 같네요.,ゲームが再起動したみたいだ。
Chap04_F2P_IntroChap02,Narrator,0,,Mais qu'est-ce qu'il a fait ?,Ne yaptı o?,Was hat er getan?,¿Qué habrá hecho?,O que ele fez?,他干了些什么？,Che cosa ha fatto?,Что он наделал?,무슨 짓을 한 거지?,あいつ何をいじった？
Chap04_F2P_StartClick01,Narrator,0,,Non !!!,Hayır!!,Nein!!!,¡¡¡No!!!,Não!!!,不！！！,No!!!,Нет!!!,안 돼!!!,ひでえ!!!
Chap04_F2P_StartClick02,Narrator,0,,Il a transformé le jeu en FREE2PLAY !!!,Oyunu FREE2PLAY yapmış!!,Er hat das Spiel in ein FREE2PLAY verwandelt!!!,¡Ha convertido el juego en un FREE2PLAY!,Ele transformou o jogo num FREE2PLAY!!!,他把这个游戏变成了一个FREE2PLAY！！！,Ha trasformato il gioco in un FREE2PLAY!!!!,Он превратил игру в FREE2PLAY!!!,게임을 무료 플레이로 바꿔버렸어요!!!,あいつ、このゲームをF2Pにしやがった!!!
